"week","gmv","product_mrp","list_price","units","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
36,87499,88900,87499,1,0.0157592800899888,5,0,0,1,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
36,332470,40979,33247,10,0.176085573294284,5,0,1,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
37,7464652,2358.71493055556,1284.27864583333,5905,0.48323564148937,6.09270833333333,0,0,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
37,69975,81700,69975,1,0.143512851897185,5,0,0,1,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
37,475700,41856.0714285714,33978.5714285714,14,0.176475835222593,5.85714285714286,0,1,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
38,4588192,1931.00870303545,959.783909997877,4826,0.52156245786534,6.09530885162386,0,0,0,0,0,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311,49
38,275720,41102.5,34465,8,0.159222245895608,6.25,0,1,0,0,0,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311,49
39,174339,83600,58113,3,0.311202758858355,5.66666666666667,0,0,1,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
39,4228752,1687.65373563218,858.661330049261,4973,0.49351039912559,5.80623973727422,0,0,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
39,360050,39433.0909090909,32731.8181818182,11,0.162297858137643,4.81818181818182,0,1,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
40,465508,40320.3571428571,33250.5714285714,14,0.159363687699161,4.92857142857143,0,1,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
40,4826655.00478372,1660.40555041628,879.432192414431,5552,0.495562404923717,5.75855689176688,0,0,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
40,46840,80950,46840,1,0.421371216800494,8,0,0,1,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
41,336718,36990.9090909091,30610.7272727273,11,0.170841476008367,5.54545454545455,0,1,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
41,5219122,1910.34284662125,952.910881973854,5522,0.518760078341858,5.88933897993003,0,0,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
41,135139,96250,45046.3333333333,3,0.52381850938577,7.66666666666667,0,0,1,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
42,4306432,1779.28405245347,896.082698815567,4833,0.522708072687482,5.82508460236887,0,0,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
42,124495,85425,62247.5,2,0.277768294467602,7,0,0,1,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
42,197369,38584.2857142857,28195.5714285714,7,0.240612482939262,6.14285714285714,0,1,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
43,99770,38900,33256.6666666667,3,0.144712291409366,2,0,1,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
43,145500,80950,48500,3,0.400864731315627,4.33333333333333,0,0,1,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
