"week","product_analytic_sub_category","gmv","product_mrp","list_price","units","Promotion","sla","procurement_sla","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
7,"Speaker",2083,1412.66666666667,694.333333333333,3,0.428068526331799,5,2.66666666666667,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
7,"CameraAccessory",1397,1576,465.666666666667,3,0.543771889751789,8.66666666666667,2,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
7,"TVVideoSmall",165,499,165,1,0.669338677354709,7,2,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
7,"GamingAccessory",4875,2583.25,1218.75,4,0.385991999141128,6,2.5,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
8,"Speaker",10165,3012.42857142857,1452.14285714286,7,0.51573482867098,3.85714285714286,2.14285714285714,2,0,0.000262218,0.580735406,4.463937764,0,0.029945118,0.025141618,1.230600285,0,0,60
8,"GamingAccessory",1246,586.5,311.5,4,0.462551958698807,2.75,1.75,2,0,0.000262218,0.580735406,4.463937764,0,0.029945118,0.025141618,1.230600285,0,0,60
8,"Game",6576,3249.5,1644,4,0.255045864045864,2.5,3.5,2,0,0.000262218,0.580735406,4.463937764,0,0.029945118,0.025141618,1.230600285,0,0,60
9,"AudioMP3Player",16080,8999,8040,2,0.106567396377375,7,3,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
9,"Speaker",4438,2406,1109.5,4,0.480463832671638,3,2,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
9,"GamingAccessory",1736,716,289.333333333333,6,0.506642055369631,6.33333333333333,3,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
