"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
38,3224383.25056292,1464.11060948081,881.990406320542,0.400735428847614,5.79683972911964,0,0,0,0,0,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311,49
39,3217441.00213367,1543.61234272019,945.331935290593,0.402231589999788,5.96434991012582,0,0,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
39,18999,36995,18999,0.486444114069469,4,0,1,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
40,18998,36995,18998,0.48647114474929,4,0,1,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
40,3508056.5,1620.57370864771,991.999709808474,0.413411215366728,5.85345327916425,0,0,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
41,3788173.50183975,1683.7858546169,1037.19393769296,0.399905921064397,5.97389840022453,0,0,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
41,38444,36995,19222,0.480416272469253,6,0,1,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
42,3106523,1640.110218509,977.658097686375,0.424992732649732,5.91677377892031,0,0,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
42,18992,36995,18992,0.48663332882822,6,0,1,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
43,49999,65000,49999,0.230784615384615,8,0,1,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
43,2177891,1593.31935342945,926.248143294015,0.440720492941006,4.90956749672346,0,0,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
44,5385595,1594.52616666667,883.381666666667,0.452707340153973,6.33833333333333,0,0,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
44,154637,38440,17181.8888888889,0.536342268174378,7.11111111111111,0,1,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
45,97603,48776.6666666667,10844.7777777778,0.776708492877878,6.11111111111111,0,1,0,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
