"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
35,5966698.1200003,3725.47095871239,2074.56578026592,0.388702873995586,5.48635409377187,0,0,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
36,5081738,3363.33183489988,2067.24233755619,0.332671455100645,5.82141397629751,0,0,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
36,82922,40039.2857142857,11846,0.707006596838741,6.42857142857143,0,1,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
37,7116097,3971.30452292441,2186.6926889715,0.396496965171405,5.30514250309789,0,0,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
37,7224,39999,2408,0.939798494962374,7.33333333333333,0,1,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
38,4635250,3336.34288272158,2069.23724261415,0.339070003946045,5.53625783348254,0,0,0,0,0,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311,49
38,75430,41817,18857.5,0.571205567233778,4.75,0,1,0,0,0,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311,49
39,4131815,3222.81737505838,1919.92059785147,0.355217499242293,5.43904717421765,0,0,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
39,34964,38874,8741,0.759286050941944,5.75,0,1,0,0,2,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147,49
40,3779745,3237.48210526316,1972.87894736842,0.335734402197226,5.54,0,0,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
40,44250,41499.5,22125,0.483502203834166,6.5,0,1,0,0,0,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529,50.4
41,51808,37068.25,12952,0.629971583387779,4.75,0,1,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
41,3528035,3248.13599537037,2029.9224537037,0.335086037484982,5.71180555555556,0,0,0,0,0,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576,51.8
42,3187480,3314.14087301587,2090.45502645503,0.332492337795863,5.86574074074074,0,0,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
42,31398,37499.5,15699,0.555115431100063,5.5,0,1,0,0,1,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796,51.8
43,2098355,3666.9393258427,2321.87415730337,0.333750645269053,4.83370786516854,0,0,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
43,22893,36997.6666666667,7631,0.763961858631345,5.66666666666667,0,1,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
44,5788318,3273.61028134769,1994.33935394234,0.35626220434607,5.98749565821466,0,0,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
44,96264,40043.1428571429,13752,0.656090484983224,5.57142857142857,0,1,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
45,3784331,3326.86652429258,2015.18419647624,0.358220745800309,5.21996796583022,0,0,0,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
45,64148,39004.5,16037,0.569783500265869,6.25,0,1,0,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
46,183495,44323.8571428571,26213.5714285714,0.45020079867617,5.42857142857143,0,1,0,0,0,0.426715035,0.345512796,48.12394637,1.075873087,6.636618066,1.705755062,2.822919574,0.852031982,9.805660757,47.3
46,3820090,3228.32034169781,2028.45435130806,0.333118407398677,5.21676454885211,0,0,0,0,0,0.426715035,0.345512796,48.12394637,1.075873087,6.636618066,1.705755062,2.822919574,0.852031982,9.805660757,47.3
47,3513779,3215.19795221843,1993.52957906712,0.328886601330489,5.04835039817975,0,0,0,0,1,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659,47.3
47,144075,42290.8571428571,20582.1428571429,0.536667649391008,4,0,1,0,0,1,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659,47.3
